"BehaviorSpace results (NetLogo 6.0.1)"
"ModelAgents-BlanchLopezMingo.nlogo"
"Experiment1 (350, 4.0)"
"06/13/2017 19:59:06:911 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","3"
"[run number]","max-capacity","train-frequency-exponential","[step]","mean-waiting-time / ticks-per-minute"
"59","350","4","4501","3.4118732174073054"
"63","350","4","4501","4.2347902345004815"
"60","350","4","4501","3.739585226047229"
"65","350","4","4501","4.870837089905285"
"62","350","4","4501","3.3114235249808437"
"66","350","4","4501","3.441822410657135"
"64","350","4","4501","3.1643259682751017"
"61","350","4","4501","3.1944666677091966"
"67","350","4","4501","3.5126076660172267"
"68","350","4","4501","4.749179630242565"
"69","350","4","4501","4.036083476272156"
"70","350","4","4501","3.111880902602552"
"72","350","4","4501","3.2104929771412833"
"77","350","4","4501","3.8817021953126036"
"74","350","4","4501","3.328452165127113"
"71","350","4","4501","3.0933142487764336"
"76","350","4","4501","3.5665264255027074"
"75","350","4","4501","3.7403118352462656"
"73","350","4","4501","2.366562338588681"
"79","350","4","4501","3.630419402420081"
"78","350","4","4501","2.9017787278144835"
"46","350","4","4501","2.9292744599704834"
"80","350","4","4501","2.7452062197394094"
"81","350","4","4501","3.8712960296168766"
"82","350","4","4501","3.14875090234093"
"83","350","4","4501","3.3516880081858473"
"87","350","4","4501","4.568751910606386"
"85","350","4","4501","3.0627978812829784"
"86","350","4","4501","3.28162174073666"
"84","350","4","4501","4.302711564466852"
"88","350","4","4501","3.6817835353492763"
"90","350","4","4501","4.602852532572312"
"89","350","4","4501","3.5169193439343567"
"92","350","4","4501","4.216440147402623"
"93","350","4","4501","3.398575377885723"
"96","350","4","4501","2.924401958996863"
"94","350","4","4501","3.0899199989796604"
"99","350","4","4501","5.3200101499518215"
"95","350","4","4501","4.4121096837458555"
"97","350","4","4501","5.488133821552372"
"98","350","4","4501","3.581492928165045"
"100","350","4","4501","2.8868490744358617"
"102","350","4","4501","3.2440112401264836"
"101","350","4","4501","3.4295138801341367"
"103","350","4","4501","6.083800918795475"
"104","350","4","4501","4.892935558312324"
"105","350","4","4501","3.26940607997565"
"106","350","4","4501","2.9436211154429555"
"107","350","4","4501","2.516870854001076"
"108","350","4","4501","3.382398905402952"
"109","350","4","4501","4.382030006969191"
"110","350","4","4501","3.1932093478125316"
"111","350","4","4501","4.4727735979937036"
"112","350","4","4501","5.182986972606304"
"114","350","4","4501","4.3559927294681335"
"113","350","4","4501","3.292061108675148"
"115","350","4","4501","3.6263094525249016"
"117","350","4","4501","3.0358736896680223"
"118","350","4","4501","3.4218496042216358"
"116","350","4","4501","3.27634041377132"
"120","350","4","4501","4.3066049989121336"
"91","350","4","4501","4.748695407400992"
"119","350","4","4501","5.054073404301805"
"121","350","4","4501","3.6620883787059038"
"122","350","4","4501","3.0567737692305306"
"123","350","4","4501","3.62609051853332"
"124","350","4","4501","6.4310805074122985"
"125","350","4","4501","2.9176215835852166"
"127","350","4","4501","3.157306975304169"
"128","350","4","4501","4.304372175697355"
"129","350","4","4501","4.3634317890756815"
"126","350","4","4501","2.927389097744361"
"132","350","4","4501","4.0797097187981635"
"130","350","4","4501","3.0103774508720003"
"133","350","4","4501","4.0121357653216245"
"134","350","4","4501","2.960267516582408"
"135","350","4","4501","3.241865358574729"
"136","350","4","4501","3.2490812092471844"
"137","350","4","4501","3.033089926576201"
"138","350","4","4501","3.7884176224401775"
"139","350","4","4501","3.228260696282645"
"140","350","4","4501","3.3078239240713465"
"142","350","4","4501","2.975241640733308"
"141","350","4","4501","3.0741483664381537"
"144","350","4","4501","3.3063495852680207"
"143","350","4","4501","4.749578156996587"
"145","350","4","4501","3.559228970769906"
"146","350","4","4501","3.0586510043580626"
"147","350","4","4501","2.9044739822986196"
"148","350","4","4501","3.4238791661183905"
"149","350","4","4501","3.713002832768202"
"152","350","4","4501","3.7994530561293103"
"150","350","4","4501","3.2126070295983085"
"151","350","4","4501","4.244514836849104"
"153","350","4","4501","3.7967351886391265"
"131","350","4","4501","3.8357914458081686"
"155","350","4","4501","3.5476965002111482"
"154","350","4","4501","3.9970367467423493"
"156","350","4","4501","3.409018034721052"
"157","350","4","4501","4.160922558508798"
"158","350","4","4501","3.178031730323964"
"159","350","4","4501","5.563037128078046"
"164","350","4","4501","3.075921204951892"
"160","350","4","4501","3.613569525608746"
